0,0.003,1,1,1,1,1
1,0.003,0.983233,0.771964,0.732126,0.635761,0.586534
2,0.003,0.979903,0.744451,0.686901,0.564349,0.525117
3,0.003,0.971281,0.709355,0.645562,0.523346,0.504921
4,0.003,0.914604,0.672825,0.618004,0.502158,0.498287
5,0.003,0.662287,0.638233,0.597349,0.489543,0.496091
6,0.003,0.282794,0.606303,0.584738,0.4818,0.495774
7,0.003,0.037609,0.574644,0.576343,0.47678,0.494568
8,0.003,0.012449,0.544477,0.568732,0.475141,0.494233
9,0.003,0.004596,0.522121,0.56162,0.471644,0.493547
10,0.003,0.007626,0.507365,0.553866,0.469897,0.493839
11,0.003,0.017769,0.503645,0.546024,0.470149,0.493871
12,0.003,0.027589,0.50637,0.534835,0.470904,0.495352
13,0.003,0.043464,0.520045,0.521558,0.473284,0.4963
14,0.003,0.063681,0.534754,0.505659,0.476601,0.498142
15,0.003,0.100116,0.545627,0.491534,0.480891,0.498287
16,0.003,0.216637,0.547674,0.480686,0.485012,0.499254
17,0.003,0.504991,0.539003,0.469397,0.489925,0.50055
18,0.003,0.659888,0.520105,0.451972,0.49675,0.501558
19,0.003,0.747736,0.492152,0.440555,0.502627,0.501523
20,0.003,0.855171,0.463368,0.433058,0.510138,0.499606
21,0.003,0.944655,0.435849,0.432411,0.516856,0.499028
22,0.003,0.948686,0.415946,0.440999,0.521148,0.500701
23,0.003,0.94042,0.401995,0.448971,0.526049,0.50509
24,0.003,0.933202,0.390705,0.452995,0.531244,0.507771
25,0.003,0.916622,0.379932,0.447721,0.534535,0.509399
26,0.003,0.869185,0.363332,0.432587,0.536388,0.511096
27,0.003,0.671304,0.33991,0.407282,0.528683,0.509291
28,0.003,0.367384,0.309321,0.36989,0.50888,0.500996
29,0.003,0.207277,0.271506,0.314701,0.467201,0.477787
30,0.003,0.107843,0.227023,0.251925,0.382317,0.411487
31,0.003,0,0,0,0,0